,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,spx_close,m2,fg_fng_value,gt_bitcoin,hr_hash_rate,btc_ret1d,eth_ret1d,spx_ret1d,m2_chg1d,btc_volume_log1p
btc_open,1.0,0.9995315548281865,0.9993622469880827,0.9990453655462049,0.5005058329194422,0.8047349483350964,0.8051350558608275,0.8050291846266335,0.8051133577201635,0.5465709675027657,0.9372765802180293,0.6581774653667632,0.3199469785065016,0.36846365017425337,0.8677742155501316,-0.026069228182289732,-0.009806545697457933,-0.0001924335915411805,-0.025385333498864873,0.4889188310700764
btc_high,0.9995315548281865,1.0,0.9991547560837953,0.9995796484702499,0.5095892041787078,0.8052426099941695,0.8065151753095767,0.8058748923854526,0.8067249926232513,0.5531284704435238,0.9368681091458569,0.6588528427467618,0.32027840844668315,0.3784780247016679,0.8656100094081414,-0.008294125710245842,0.003927478560711041,0.0040311407651630075,-0.024789160620946327,0.4971337951703258
btc_low,0.9993622469880827,0.9991547560837953,1.0,0.9994757084851842,0.4873757936217396,0.8014784852597238,0.8022033469878139,0.8035656254616649,0.8033470729576352,0.5326304380206197,0.9382575295299107,0.6571458714318298,0.3201839566837625,0.35453124443250966,0.8708967182936882,-0.006465755956632456,0.00825826335407387,0.005910658241503723,-0.025324801630116724,0.47812179339932775
btc_close,0.9990453655462049,0.9995796484702499,0.9994757084851842,1.0,0.5002352803874549,0.802289487330804,0.8036863219881202,0.8040267833212676,0.8049913930905626,0.5434892249286227,0.9374458990557986,0.657766608142851,0.32043931860983665,0.3686389105126472,0.8679858945900606,0.008265938724880375,0.018750526481746188,0.009986360096844936,-0.02491206462119247,0.4890283980546905
btc_volume,0.5005058329194422,0.5095892041787078,0.4873757936217396,0.5002352803874549,1.0,0.35411776265474226,0.3653975666510596,0.33411474663093527,0.35215313555014766,0.8924503698323394,0.36816166978465686,0.289936402747356,0.25322546972918014,0.6998615126851421,0.29677031832105144,-0.007815991168125744,-0.01426117791391004,-0.00476561317708874,0.042543854222340166,0.9267857871514147
eth_open,0.8047349483350964,0.8052426099941695,0.8014784852597238,0.802289487330804,0.35411776265474226,1.0,0.9989906530795042,0.9982343048018073,0.9975435940457953,0.4759101254967961,0.839906585262672,0.7792426872594336,0.194526987698023,0.44742369016872396,0.6084252198686694,-0.055494863526964325,-0.042081961992239965,-0.014009912928116021,-0.04038286625663462,0.3793584473192004
eth_high,0.8051350558608275,0.8065151753095767,0.8022033469878139,0.8036863219881202,0.3653975666510596,0.9989906530795042,1.0,0.9979242694792575,0.9988764732083795,0.48990037976646933,0.8385458554702957,0.7784105539132625,0.19376891078363231,0.458599749347206,0.605222153956202,-0.03707700994327095,-0.01541368041571008,-0.007230340686446532,-0.039504081049647824,0.390091638936389
eth_low,0.8050291846266335,0.8058748923854526,0.8035656254616649,0.8040267833212676,0.33411474663093527,0.9982343048018073,0.9979242694792575,1.0,0.9987178473693377,0.45333568973249266,0.8431816421709338,0.7803180010690046,0.19943037673421993,0.42822475379763186,0.613857387368886,-0.027759107533274777,-0.009236909244533185,-0.004491461302217108,-0.04063789717567779,0.3630049946503356
eth_close,0.8051133577201635,0.8067249926232513,0.8033470729576352,0.8049913930905626,0.35215313555014766,0.9975435940457953,0.9988764732083795,0.9987178473693377,1.0,0.47462069247268096,0.8408334438484429,0.7790748530040664,0.197283293348694,0.4465899110509364,0.608883345167765,-0.011938421169977202,0.01310099061304696,0.00227088055578507,-0.040219374143717505,0.3785810807594275
eth_volume,0.5465709675027657,0.5531284704435238,0.5326304380206197,0.5434892249286227,0.8924503698323394,0.4759101254967961,0.48990037976646933,0.45333568973249266,0.47462069247268096,1.0,0.4303530120728074,0.3384530511741496,0.19174495441264414,0.7157536699933379,0.30998212822299437,-0.06299654405974735,-0.01002687430231616,-0.017375770134888214,0.025054628488676223,0.8235488485283171
spx_close,0.9372765802180293,0.9368681091458569,0.9382575295299107,0.9374458990557986,0.36816166978465686,0.839906585262672,0.8385458554702957,0.8431816421709338,0.8408334438484429,0.4303530120728074,1.0,0.7823507851507382,0.24699522549082256,0.2870184072846777,0.9022796042927482,-0.00632987813980341,-0.00018510942430851295,0.01874111804274539,-0.05310521859139975,0.3786880231069777
m2,0.6581774653667632,0.6588528427467618,0.6571458714318298,0.657766608142851,0.289936402747356,0.7792426872594336,0.7784105539132625,0.7803180010690046,0.7790748530040664,0.3384530511741496,0.7823507851507382,1.0,0.04540179953439504,0.39318986350958707,0.607439940285614,-0.021129585480090776,-0.008547414179026299,-0.005677916209317824,-0.051390998689085934,0.3475617251967828
fg_fng_value,0.3199469785065016,0.32027840844668315,0.3201839566837625,0.32043931860983665,0.25322546972918014,0.194526987698023,0.19376891078363231,0.19943037673421993,0.197283293348694,0.19174495441264414,0.24699522549082256,0.04540179953439504,1.0,0.17510675797731756,0.24565362460707696,0.0356724222382326,0.05162888890788106,0.02778460175325795,-0.013054432984195011,0.22305102879597713
gt_bitcoin,0.36846365017425337,0.3784780247016679,0.35453124443250966,0.3686389105126472,0.6998615126851421,0.44742369016872396,0.458599749347206,0.42822475379763186,0.4465899110509364,0.7157536699933379,0.2870184072846777,0.39318986350958707,0.17510675797731756,1.0,0.09088245359056434,-0.004805512520717317,-0.003615447637957557,-0.005041320819993361,0.00913086754543541,0.6428157388524849
hr_hash_rate,0.8677742155501316,0.8656100094081414,0.8708967182936882,0.8679858945900606,0.29677031832105144,0.6084252198686694,0.605222153956202,0.613857387368886,0.608883345167765,0.30998212822299437,0.9022796042927482,0.607439940285614,0.24565362460707696,0.09088245359056434,1.0,-0.005050945546591324,-0.008858816853259318,0.0046901233587803345,-0.04246553239850539,0.27478655656302914
btc_ret1d,-0.026069228182289732,-0.008294125710245842,-0.006465755956632456,0.008265938724880375,-0.007815991168125744,-0.055494863526964325,-0.03707700994327095,-0.027759107533274777,-0.011938421169977202,-0.06299654405974735,-0.00632987813980341,-0.021129585480090776,0.0356724222382326,-0.004805512520717317,-0.005050945546591324,1.0,0.8250306152184493,0.31310268222404064,-0.004705854971932057,0.00668993446146642
eth_ret1d,-0.009806545697457933,0.003927478560711041,0.00825826335407387,0.018750526481746188,-0.01426117791391004,-0.042081961992239965,-0.01541368041571008,-0.009236909244533185,0.01310099061304696,-0.01002687430231616,-0.00018510942430851295,-0.008547414179026299,0.05162888890788106,-0.003615447637957557,-0.008858816853259318,0.8250306152184493,1.0,0.327891019872027,0.004457156274761875,0.003468894323658627
spx_ret1d,-0.0001924335915411805,0.0040311407651630075,0.005910658241503723,0.009986360096844936,-0.00476561317708874,-0.014009912928116021,-0.007230340686446532,-0.004491461302217108,0.00227088055578507,-0.017375770134888214,0.01874111804274539,-0.005677916209317824,0.02778460175325795,-0.005041320819993361,0.0046901233587803345,0.31310268222404064,0.327891019872027,1.0,0.0013442704430351473,-0.008796785412715679
m2_chg1d,-0.025385333498864873,-0.024789160620946327,-0.025324801630116724,-0.02491206462119247,0.042543854222340166,-0.04038286625663462,-0.039504081049647824,-0.04063789717567779,-0.040219374143717505,0.025054628488676223,-0.05310521859139975,-0.051390998689085934,-0.013054432984195011,0.00913086754543541,-0.04246553239850539,-0.004705854971932057,0.004457156274761875,0.0013442704430351473,1.0,0.05424119781346016
btc_volume_log1p,0.4889188310700764,0.4971337951703258,0.47812179339932775,0.4890283980546905,0.9267857871514147,0.3793584473192004,0.390091638936389,0.3630049946503356,0.3785810807594275,0.8235488485283171,0.3786880231069777,0.3475617251967828,0.22305102879597713,0.6428157388524849,0.27478655656302914,0.00668993446146642,0.003468894323658627,-0.008796785412715679,0.05424119781346016,1.0
