ds,P_forecast,P_bull_1sigma,P_bear_1sigma,rhat,P_base_prob,P_lo80,P_hi80,P_lo95,P_hi95,prev_price,delta_price,signal,signal_strength,position_long_flat,strat_ret,cum_ret
2025-10-10,115235.88335457316,122612.43168831586,108303.11926497924,0.010290877893567,115235.88335457316,106433.67138315672,124766.05044191174,102050.45901751192,130124.92976861628,114056.0859375,1179.7974170731613,BUY,normal,1,0.0,1.0
2025-10-17,116427.88460920476,123880.73604066936,109423.40793102913,0.010290877893567,116427.88460920476,104052.93778617017,130274.57564370638,98044.90628658788,138257.58856815414,115235.88335457316,1192.0012546315993,HOLD,normal,1,0.010290877893567,1.0103440110834565
2025-10-24,117632.21593802577,125162.1597473008,110555.28487545723,0.010290877893567,117632.21593802577,102507.45949289542,134988.59785369431,95306.20012603547,145188.22708482193,116427.88460920476,1204.3313288210047,HOLD,normal,1,0.010290877893567,1.0207950207322076
2025-10-31,118849.00488346023,126456.8385149562,111698.86996754368,0.010290877893567,118849.00488346023,101386.04119612437,139319.82938819693,93207.31641276037,151544.81971390595,117632.21593802577,1216.7889454344695,HOLD,normal,1,0.010290877893567,1.0313541357405986
2025-11-07,120078.38030723254,127764.90945413378,112854.2843164975,0.010290877893567,120078.38030723252,100531.24011875926,143426.2364631648,91508.47416173088,157568.11103335343,118849.00488346023,1229.3754237723042,HOLD,normal,1,0.010290877893567,1.042022474351668
2025-11-14,121320.47240401406,129086.51109360416,114021.6502842829,0.010290877893567,121320.47240401404,99863.18321187604,147388.2220748471,90088.1621206226,163380.5893900437,120078.38030723254,1242.0920967815182,HOLD,normal,1,0.010290877893567,1.0528011663755723
2025-11-21,122575.41271521137,130421.78339508112,115201.09149857752,0.010290877893567,122575.41271521132,99334.92011261683,151253.2731215842,88875.02406629515,169054.60178662665,121320.47240401406,1254.940311197308,HOLD,normal,1,0.010290877893567,1.0636913533092371
2025-11-28,123843.33414289675,131770.867768044,116392.7328658651,0.010290877893567,123843.3341428967,98916.175156432,155052.20847221435,87823.08599483049,174637.12687723082,122575.41271521137,1267.921427685389,HOLD,normal,1,0.010290877893567,1.0746941884572447
2025-12-05,125124.37096388308,133133.90708471334,117596.7005846634,0.010290877893567,125124.37096388302,98586.13276223994,158806.393662537,86900.76281934536,180160.7684578591,123843.33414289675,1281.0368209863227,HOLD,normal,1,0.010290877893567,1.0858108370539725
2025-12-12,126418.65884394402,134511.0456951815,118813.12215888908,0.010290877893567,126418.65884394397,98329.79020409538,162531.3882062555,86085.30412885954,185649.3098982238,125124.37096388308,1294.287880060947,HOLD,normal,1,0.010290877893567,1.097042476386996
2025-12-19,127726.33485218148,135902.42944269977,120042.1264113607,0.010290877893567,127726.3348521814,98135.9354143594,166238.96787541578,85359.71640932055,191120.79211395103,126418.65884394402,1307.676008237453,HOLD,normal,1,0.010290877893567,1.1083902959217655
2025-12-26,129047.53747554171,137308.20567912373,121283.8434974415,0.010290877893567,129047.53747554164,97995.94507062998,169938.3266980953,84710.93475940503,196589.34204656965,127726.33485218148,1321.2026233602373,HOLD,normal,1,0.010290877893567,1.1198554974275758
2026-01-02,130382.4066334815,138728.5232805181,122538.40491882325,0.010290877893567,130382.40663348138,97903.03029581804,173636.8313439695,84128.67612358599,202066.31962882585,129047.53747554171,1334.8691579397855,HOLD,normal,1,0.010290877893567,1.1314392951048362
2026-01-09,131731.08369278596,140163.53266292333,123805.94353745262,0.010290877893567,131731.08369278585,97851.7420742516,177340.51579488418,83604.68778183263,207561.06949599285,130382.4066334815,1348.677059304464,HOLD,normal,1,0.010290877893567,1.1431429157136588
2026-01-16,133093.7114825399,141613.38579828502,125086.59358960182,0.010290877893567,133093.71148253974,97837.63504407468,181054.4176401813,83132.23676287272,213081.43177627897,131731.08369278596,1362.6277897539258,HOLD,normal,1,0.010290877893567,1.1549675987037757
2026-01-23,134470.43430925364,143078.2362305483,126380.4907000845,0.010290877893567,134470.4343092535,97857.0319272421,184782.81373548775,82705.75228163865,218634.09985974673,133093.7114825399,1376.7228267137543,HOLD,normal,1,0.010290877893567,1.1669145963458005
2026-01-30,135861.3979721458,144558.2390919185,127687.77189661884,0.010290877893567,135861.3979721456,97906.85416469524,188529.38965739665,82320.56880135964,224224.8775453173,134470.43430925364,1390.9636628921435,HOLD,normal,1,0.010290877893567,1.1789851738638486
2026-02-06,137266.74977858356,146053.5511192903,129008.57562433934,0.010290877893567,137266.74977858335,97984.49741527578,192297.3642954944,81972.7372544822,229858.86803171187,135861.3979721458,1405.3518064377713,HOLD,normal,1,0.010290877893567,1.191180609569527
2026-02-13,138686.63855968328,147564.3306708464,130343.04176045844,0.010290877893567,138686.63855968308,98087.7382458582,196089.58325426915,81658.88363048021,235540.61554430617,137266.74977858356,1419.8887810997257,HOLD,normal,1,0.010290877893567,1.2035021949973126
2026-02-20,140121.21468607197,149090.73774282847,131691.31162908007,0.010290877893567,140121.21468607173,98214.66299825451,199908.59007935657,81376.10122708502,241274.21330140223,138686.63855968328,1434.5761263886816,HOLD,normal,1,0.010290877893567,1.215951235041329
2026-02-27,141570.63008381208,150632.933986481,133053.52801616618,0.010290877893567,141570.63008381185,98363.61273818754,203756.6814028429,81121.8673032442,247063.38708164787,140121.21468607197,1449.4153977401147,HOLD,normal,1,0.010290877893567,1.228529048093539
2026-03-06,143035.03825049096,152191.08272517074,134429.8351846584,0.010290877893567,143035.03825049073,98533.14007305558,207635.9502209143,80893.97773344112,252911.56079300697,141570.63008381208,1464.4081666788843,HOLD,normal,1,0.010290877893567,1.2412369661833667
2026-03-13,144514.59427147667,153765.34897168315,135820.37888975575,0.010290877893567,144514.5942714764,98721.97486761848,211548.32027473647,80690.49515191824,258821.9085547768,143035.03825049096,1479.5560209857067,HOLD,normal,1,0.010290877893567,1.2540763351187634
2026-03-20,146009.45483634205,155355.8994456978,137225.30639435066,0.010290877893567,146009.4548363418,98928.99672528238,215495.5736669013,80509.70734986014,264797.3965296343,144514.59427147667,1494.8605648653756,HOLD,normal,1,0.010290877893567,1.2670485146287322
2026-03-27,147519.7782554586,156962.90259144446,138644.76648462453,0.010290877893567,147519.7782554583,99153.21267984343,219479.37326859345,80350.09356559055,270840.81686569535,146009.45483634205,1510.3234191165539,HOLD,normal,1,0.010290877893567,1.280154878507329
2026-04-03,149045.72447676212,158586.52859554184,140078.9094858047,0.010290877893567,149045.7244767618,99393.73894693376,223501.28106824885,80210.29692209352,276954.8154943171,147519.7782554586,1525.946221303515,HOLD,normal,1,0.010290877893567,1.2933968147591495
2026-04-10,150587.45510269154,160226.94940502103,141527.88727808438,0.010290877893567,150587.45510269122,99649.78587232452,227562.7733245632,80089.10170337599,283141.915092165,149045.72447676212,1541.7306259294273,HOLD,normal,1,0.010290877893567,1.3067757257463253
2026-04-17,152145.1334073033,161884.338745535,142991.85331270707,0.010290877893567,152145.13340730296,99920.64542225872,231665.2531786934,79985.41447697763,289404.5342002796,150587.45510269154,1557.6783046117635,HOLD,normal,1,0.010290877893567,1.320293028337037
2026-04-24,153718.9243535624,163558.87213975683,144470.9626282177,0.010290877893567,153718.92435356206,100205.68071331082,235810.06122816855,79898.24830111052,295745.00326170103,152145.1334073033,1573.790946259105,HOLD,normal,1,0.010290877893567,1.3339501540555656
2026-05-01,155308.99461081266,165250.72692596813,145965.3718668816,0.010290877893567,155308.99461081228,100504.31719220184,239998.48445209747,79826.70942624933,302165.5781678717,153718.9243535624,1590.0702572502487,HOLD,normal,1,0.010290877893567,1.3477485492338948
2026-05-08,156915.5125724274,166960.08227683956,147475.23929127346,0.010290877893567,156915.51257242702,100816.03516068148,244231.76379257508,79769.98602943879,308668.4517755923,155308.99461081266,1606.5179616147361,HOLD,normal,1,0.010290877893567,1.3616896751648824
2026-05-15,158538.64837364285,168687.119218406,149000.7248010378,0.010290877893567,158538.64837364244,101140.36340476536,248511.10063301583,79727.33861689476,315255.76375899836,156915.5125724274,1623.1358012154524,HOLD,normal,1,0.010290877893567,1.3757750082570162
2026-05-22,160178.57390957602,170432.02064923756,150541.9899498228,0.010290877893567,160178.5739095756,101476.87373672758,252837.66236502863,79698.09180492566,321929.6090865711,158538.64837364285,1639.9255359331728,HOLD,normal,1,0.010290877893567,1.390006040190769
2026-05-29,161835.46285342894,172194.97135980916,152099.19796238936,0.010290877893567,161835.46285342847,101825.17629617792,257212.58719751917,79681.62724667955,328692.04535572324,160178.57390957602,1656.888943852915,HOLD,normal,1,0.010290877893567,1.4043842780765736
2026-06-05,163509.49067488112,173976.1580520705,153672.51375189718,0.010290877893567,163509.49067488062,102184.9154860962,261636.9883321637,79677.3775169801,335545.09917273937,161835.46285342894,1674.0278214521823,HOLD,normal,1,0.010290877893567,1.4189112446144296
2026-06-12,165200.83465867242,175775.7693592183,155262.10393736942,0.010290877893567,165200.83465867193,102555.76644288927,266111.9576062035,79684.82080264397,342490.77173072234,163509.49067488112,1691.343983791303,HOLD,normal,1,0.010290877893567,1.4335884782551622
2026-06-19,166909.673923378,177593.99586567315,156868.13686133834,0.010290877893567,166909.67392337747,102937.43195788392,270638.56868516427,79703.47627345116,349531.0437104214,165200.83465867242,1708.8392647055734,HOLD,normal,1,0.010290877893567,1.448417533363349
2026-06-26,168636.18944037752,179431.03012726302,158490.7826076732,0.010290877893567,168636.18944037697,103329.63978228072,275217.87987348984,79732.90003106037,356667.8796066928,166909.673923378,1726.5155169995269,HOLD,normal,1,0.010290877893567,1.4633999803819322
2026-07-03,170380.56405302064,181287.06669161544,160130.21301959266,0.010290877893567,170380.5640530201,103732.14025931268,279850.9365993644,79772.68155089403,363903.23156561784,168636.18944037752,1744.3746126431215,HOLD,normal,1,0.010290877893567,1.4785374059985328
2026-07-10,172142.98249599067,183162.3021187608,161786.60171786355,0.010290877893567,172142.9824959901,104144.7042368059,284538.7736205413,79822.4405463197,371239.04280299554,170380.56405302064,1762.4184429700254,HOLD,normal,1,0.010290877893567,1.4938314133134865
2026-07-17,173923.63141486846,185056.93500194867,163460.1241191879,0.010290877893567,173923.63141486785,104567.12122101152,289282.41699032777,79881.82419605843,378677.25066332915,172142.98249599067,1780.6489188777923,HOLD,normal,1,0.010290877893567,1.5092836220096164
2026-07-24,175722.69938589886,186971.1659886793,165150.95745477997,0.010290877893567,175722.69938589825,104999.19773883966,294082.88581660925,79950.50468521864,386219.7893689546,173923.63141486846,1799.0679710303957,HOLD,normal,1,0.010290877893567,1.5248956685237631
2026-07-31,177540.37693596148,188905.197801953,166859.28078913566,0.010290877893567,177540.37693596084,105440.75588076384,298941.1938416646,80028.17701811864,393868.5925011973,175722.69938589886,1817.6775500626245,HOLD,normal,1,0.010290877893567,1.5406692062200877
2026-08-07,179376.85656274811,190859.23526173897,168585.27503899607,0.010290877893567,179376.85656274745,105891.63200089778,303858.3508662863,80114.55706746104,401625.5952490431,177540.37693596148,1836.4796267866332,HOLD,normal,1,0.010290877893567,1.5566059055651682
2026-08-14,181232.33275514876,192833.4853066664,170329.122992507,0.010290877893567,181232.3327551481,106351.67555425705,308835.36403821135,80209.37982972329,409492.73645550926,179376.85656274811,1855.4761924006452,HOLD,normal,1,0.010290877893567,1.572707454304908
2026-08-21,183107.0020138487,194828.1570159401,172091.0093285769,0.010290877893567,183107.002013848,106820.74805413638,313873.2390219489,80312.39786103893,417471.9604874913,181232.33275514876,1874.669258699927,HOLD,normal,1,0.010290877893567,1.5889755576432725
2026-08-28,185001.06287213843,196843.4616314824,173871.1206364349,0.010290877893567,185001.0628721377,107298.72213497444,318972.9810646528,80423.37987152796,425565.2189511792,183107.0020138487,1894.0608582897403,HOLD,normal,1,0.010290877893567,1.6054119384228758
2026-09-04,186914.71591693905,198879.6125803044,175669.6454353912,0.010290877893567,186914.7159169383,107785.48070812556,324135.5959706358,80542.10945912656,433774.47227204306,185001.06287213843,1913.6530448006233,HOLD,normal,1,0.010290877893567,1.6220183373074353
2026-09-11,188848.163810045,200936.82549710857,177486.77419480175,0.010290877893567,188848.1638100442,108280.9161996828,329362.09099540085,80668.38396657031,442101.6911557893,186914.71591693905,1933.447893105942,HOLD,normal,1,0.010290877893567,1.6387965129661128
2026-09-18,190801.6113095865,203015.3182471252,179322.69935423974,0.010290877893567,190801.6113095857,108784.92986095622,334653.47566860326,80802.0134473852,450548.85794448375,188848.163810045,1953.4474995415076,HOLD,normal,1,0.010290877893567,1.655748242259764
2026-09-25,192775.26529171423,205115.31094918493,181177.6153438753,0.010290877893567,192775.2652917134,109297.4311434482,340010.76255412225,80942.81972860961,459117.9678801737,190801.6113095865,1973.6539821277256,HOLD,normal,1,0.010290877893567,1.6728753204291125
2026-10-02,194769.334772508,207237.02599902992,183051.7186050666,0.010290877893567,194769.3347725071,109818.33713122152,345434.9679543632,81090.63555955933,467811.03028675175,192775.26529171423,1994.0694807937834,HOLD,normal,1,0.010290877893567,1.690179561284872
