ds,P_forecast,P_bull_1sigma,P_bear_1sigma,rhat,P_base_prob,P_lo80,P_hi80,P_lo95,P_hi95
2025-10-10,115235.88341771968,122612.43207637372,108303.11904090412,0.010290877893567,115235.88341771967,106433.67144147982,124766.05051028053,102050.45907343313,130124.9298399216
2025-10-17,116427.88467300446,123880.73643274132,109423.40770463616,0.010290877893567,116427.88467300445,104052.93784318866,130274.57571509373,98044.90634031413,138257.58864391598
2025-10-24,117632.2160024854,125162.16014342834,110555.28464672247,0.010290877893567,117632.2160024854,102507.45954906705,134988.5979276648,95306.20017826097,145188.2271643816
2025-10-31,118849.00494858666,126456.83891518132,111698.86973644288,0.010290877893567,118849.00494858663,101386.04125168148,139319.82946454088,93207.31646383573,151544.81979694887
2025-11-07,120078.38037303262,127764.90985849882,112854.2840830062,0.010290877893567,120078.38037303257,100531.24017384797,143426.23654175893,91508.47421187532,157568.11111969696
2025-11-14,121320.47247049476,129086.51150215196,114021.65004837637,0.010290877893567,121320.47247049473,99863.18326659867,147388.22215561228,90088.16216998875,163380.58947957234
2025-11-21,122575.41278237976,130421.78380785494,115201.09126023077,0.010290877893567,122575.4127823797,99334.92016705,151253.27320446738,88875.02411499653,169054.60187926452
2025-11-28,123843.33421075996,131770.86818508757,116392.73262505289,0.010290877893567,123843.33421075987,98916.17521063569,155052.20855717926,87823.08604295543,174637.12697292777
2025-12-05,125124.37103244824,133133.9075060708,117596.7003413602,0.010290877893567,125124.37103244817,98586.13281626276,158806.39374955912,86900.7628669649,180160.7685565829
2025-12-12,126418.65891321842,134511.04612089746,118813.12191306916,0.010290877893567,126418.65891321833,98329.79025797773,162531.38829531884,86085.30417603222,185649.30999995515
2025-12-19,127726.33492217243,135902.42987281937,120042.126162998,0.010290877893567,127726.33492217236,98135.93546813553,166238.96796651074,85359.71645609562,191120.79221868067
2025-12-26,129047.53754625667,137308.20611369246,121283.84324650971,0.010290877893567,129047.53754625657,97995.9451243294,169938.32679121743,84710.93480582458,196589.34215429588
2026-01-02,130382.40670492793,138728.523719582,122538.40466529582,0.010290877893567,130382.40670492781,97903.03034946654,173636.8314391183,84128.67616968647,202066.31973955332
2026-01-09,131731.08376497144,140163.53310652895,123805.94328130272,0.010290877893567,131731.08376497132,97851.742127872,177340.51589206254,83604.68782764599,207561.06960973132
2026-01-16,133093.71155547205,141613.3862464793,125086.59333080232,0.010290877893567,133093.7115554719,97837.63509768737,181054.41773939476,83132.23680842719,213081.43189304246
2026-01-23,134470.4343829402,143078.2366833787,126380.49043860796,0.010290877893567,134470.43438294006,97857.03198086542,184782.81383674432,82705.75232695941,218634.09997955296
2026-01-30,135861.39804659455,144558.23954943297,127687.77163243758,0.010290877893567,135861.39804659438,97906.85421834583,188529.3897607062,82320.56884646934,224224.87766818714
2026-02-06,137266.7498538024,146053.55158153726,129008.57535742538,0.010290877893567,137266.74985380226,97984.49746896894,192297.36440086874,81972.7372994013,229858.86815766903
2026-02-13,138686.6386356802,147564.33113787486,130343.04149078352,0.010290877893567,138686.63863568005,98087.73829960794,196089.5833617215,81658.8836752273,235540.61567337677
2026-02-20,140121.214762855,149090.73821468788,131691.3113566156,0.010290877893567,140121.2147628548,98214.66305207381,199908.59018890164,81376.10127167717,241274.21343361473
2026-02-27,141570.63016138936,150632.93446322135,133053.52774088335,0.010290877893567,141570.63016138916,98363.61279208843,203756.68151449662,81121.86734769704,247063.38721703266
2026-03-06,143035.0383288707,152191.08320684248,134429.83490652803,0.010290877893567,143035.0383288705,98533.14012704938,207635.9503346938,80893.97777776908,252911.5609315964
2026-03-13,144514.59435066715,153765.3494583373,135820.3786087484,0.010290877893567,144514.59435066694,98721.97492171577,211548.32039065985,80690.4951961347,258821.908696605
2026-03-20,146009.45491635168,155355.8999373859,137225.30611043653,0.010290877893567,146009.45491635145,98928.9967794931,215495.5737849877,80509.70739397753,264797.3966747369
2026-03-27,147519.77833629586,156962.9030882186,138644.76619777363,0.010290877893567,147519.77833629563,99153.21273417702,219479.37338886288,80350.09360962047,270840.81701410963
2026-04-03,149045.72455843556,158586.52909745462,140078.90919598663,0.010290877893567,149045.7245584353,99393.73900139914,223501.2811907222,80210.29696604684,276954.8156460817
2026-04-10,150587.4551852098,160226.9499121256,141527.8869852684,0.010290877893567,150587.45518520955,99649.78592693023,227562.77344926214,80089.10174726289,283141.91524731996
2026-04-17,152145.13349067513,161884.33925788503,142991.8530168622,0.010290877893567,152145.13349067484,99920.64547701283,231665.2533056404,79985.41452080772,289404.53435886634
2026-04-24,153718.92443779664,163558.87265740664,144470.9623293126,0.010290877893567,153718.92443779632,100205.68076822114,235810.0613573868,79898.24834489284,295745.0034237622
2026-05-01,155308.99469591823,165250.7274489725,145965.37156488464,0.010290877893567,155308.99469591788,100504.31724727579,239998.48458361087,79826.70946999246,302165.5783334511
2026-05-08,156915.5126584133,166960.08280525394,147475.23898615266,0.010290877893567,156915.51265841295,100816.03521592623,244231.76392640822,79769.98607315084,308668.45194473513
2026-05-15,158538.6484605182,168687.1197522863,149000.7244927608,0.010290877893567,158538.6484605178,101140.36346018784,248511.10076919396,79727.33866058342,315255.76393175096
2026-05-22,160178.57399735,170432.0211886403,150541.989638357,0.010290877893567,160178.5739973496,101476.87379233447,252837.6625035776,79698.0918485983,321929.60926298075
2026-05-29,161835.46294211084,172194.97190479148,152099.19764770177,0.010290877893567,161835.4629421104,101825.17635197568,257212.5873384655,79681.62729034317,328692.0455358386
2026-06-05,163509.49076448035,173976.15860269012,153672.51343395442,0.010290877893567,163509.4907644799,102184.91554209107,261636.98847553445,79677.37756064138,335545.09935661
2026-06-12,165200.83474919846,175775.76991553354,155262.10361613784,0.010290877893567,165200.834749198,102555.76649908737,266111.9577520265,79684.82084630935,342490.7719183991
2026-06-19,166909.67401484045,177593.9964277429,156868.13653678395,0.010290877893567,166909.67401483995,102937.43201429117,270638.56883346767,79703.47631712676,349531.04390195606
2026-06-26,168636.18953278608,179431.03069514685,158490.78227976162,0.010290877893567,168636.18953278556,103329.63983890288,275217.88002430263,79732.90007475208,356667.87980213825
2026-07-03,170380.5641463851,181287.06726537348,160130.21268828918,0.010290877893567,170380.56414638454,103732.14031615539,279850.93675271596,79772.68159460755,363903.2317650281
2026-07-10,172142.98259032087,183162.30269845383,161786.6013831331,0.010290877893567,172142.9825903203,104144.7042938747,284538.7737764617,79822.44059006048,371239.0430064256
2026-07-17,173923.6315101744,185056.9355876381,163460.12378099497,0.010290877893567,173923.63151017381,104567.1212783118,289282.4171488476,79881.82423983174,378677.2508708352
2026-07-24,175722.69948219066,186971.16658042703,165150.95711308875,0.010290877893567,175722.69948219004,104999.1977963767,294082.8859777596,79950.50472902959,386219.78958059376
2026-07-31,177540.37703324933,188905.1983998218,166859.28044391,0.010290877893567,177540.3770332487,105440.75593854283,298941.1940054772,80028.17706197216,393868.59271702776
2026-08-07,179376.85666104231,190859.2358657921,168585.27469019938,0.010290877893567,179376.85666104165,105891.63205892385,303858.3510327934,80114.5571113619,401625.59546912427
2026-08-14,181232.33285445973,192833.4859169679,170329.12264010237,0.010290877893567,181232.33285445903,106351.67561253521,308835.3642074457,80209.3798736761,409492.7366799014
2026-08-21,183107.00211418697,194828.1576325546,172091.00897252702,0.010290877893567,183107.0021141862,106820.74811267157,313873.2391939439,80312.3979050482,417471.9607162559
2026-08-28,185001.06297351455,196843.46225447513,173871.12027670204,0.010290877893567,185001.06297351385,107298.72219377158,318972.9812394423,80423.37991559802,425565.21918437874
2026-09-04,186914.71601936384,198879.61320974136,175669.64507193724,0.010290877893567,186914.71601936308,107785.48076718942,324135.59614825435,80542.1095032617,433774.472509741
2026-09-11,188848.16391352928,200936.8261330565,177486.77382758824,0.010290877893567,188848.16391352846,108280.91625901812,329362.09117588337,80668.38401077465,442101.69139805046
2026-09-18,190801.61141414125,203015.3188896514,179322.69898322775,0.010290877893567,190801.6114141404,108784.92992056775,334653.47585198533,80802.01349166276,450548.8581913737
2026-09-25,192775.26539735045,205115.3115983574,181177.6149690256,0.010290877893567,192775.26539734963,109297.43120334056,340010.76274043997,80942.81977296433,459117.9681317593
2026-10-02,194769.3348792369,207237.02665491743,183051.71822633935,0.010290877893567,194769.33487923606,109818.33719139932,345434.9681436533,81090.63560399505,467811.03054310096
